title,url,location,price,property_type,posted_by,description,Extracted_Locality,Clean_Project_Name,Google_Maps_Link,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
"3 BHK Flat in JP Nagar, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-birla-apple-aroma-jp-nagar-bangalore-south-1600-sq-ft-spid-W86404508,Birla Apple Aroma,₹1.56 Cr,3 BHK Flat,Dealer·1w ago,"This 3bhk flat is located in birla apple aroma, which houses some of the most spacious flats in jp nagar, bangalore south. This is a east-Facing property. The floor plan additionally contains 3bedroom(s), 3 bathrooms and 1 balcony. All in all, the flat is spread over a super built up area of 1345 sq.Ft. The flat has a total of 14 floors and this property is situated on top floor. This 0-1 year ...",JP Nagar,"JP Nagar, Bangalore",https://www.google.com/maps/search/?api=1&query=Birla+Apple+Aroma+JP+Nagar+Bangalore,15600000,[3],1600,9750,South,1.55452240067625,6.96887878761987,9,9,9.2,8.2,0.5,24,1.9327731092437,53.8,63,58.4
"4 Bedroom House in Kumbalgodu, Mysore Road, Bangalore",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kumbalgodu-bangalore-south-2443-sq-ft-spid-H86567436,"Kumbalgodu, Mysore Road, Bangalore, Bangalore South",₹1.72 Cr,4 Bedroom House,Dealer·1w ago,Introducing rsd nature mahal: Luxury redefined Discover your dream home amidst nature's serenity. Our premium villas with gardens are now available for sale. Amenities: - 24/7 water and sanitary supply - Uninterrupted 24/7 electricity - Common borewell and 25 ft concrete road - Septic tank and stormwater drain - Drip irrigation system for plants - Vastu-Compliant design Convenience: - Bank loan...,Mysore Road,"4 Kumbalgodu, Mysore Road, Bangalore",https://www.google.com/maps/search/?api=1&query=RSD+Nature+Mahal+Kumbalgodu+Mysore+Road+Bangalore,17200000,[4],7079,2430,West,10,10,10,6,6.8,7.4,2,23,1.84873949579832,85.6,64.7,75.2
Vaishnavi AT One Krishna Brindavan,https://www.99acres.com/vaishnavi-at-one-krishna-brindavan-banashankari-stage-2-bangalore-south-npxid-r455141,"in Banashankari Stage 2, Bangalore","₹3.46 - 3.62 Cr, ₹4.43 Cr","3, 4 BHK Apartment",Vaishnavi Group Bangalore,"Beautiful 3,4 BHK apartments in Banashankari Stage 2, are now available in Vaishnavi AT One Krishna Brindavan housing project. Apartments in this complex are available in price range of Rs. 3.46 - 4.43 Cr. Vaishnavi AT One Krishna Brindavan 's RERA registration number is PRM/KA/RERA/1251/310/PR/081025/008140. Apartments in Vaishnavi AT One Krishna Brindavan have SUPER area ranging between 2,050 - 2,566 sqft",Banashankari,Vaishnavi AT One Krishna Brdavan,https://www.google.com/maps/search/?api=1&query=Vaishnavi+AT+One+Krishna+Brindavan+Banashankari+Stage+2+Bangalore,39850000,"[3, 4]",2566,15530,South,3.88757396449704,3.67647268242806,10,9,9.2,8.2,0,20,1.59663865546218,60.7,53.8,57.2
Pride Euphora,https://www.99acres.com/pride-euphora-kr-puram-bangalore-east-npxid-r430996,"in KR Puram, Bangalore","₹1.79 - 2.54 Cr, ₹3.75 - 4.59 Cr","3, 4 BHK Apartment",Pride Group,"Pride Euphora society now offers elegantly built 3,4 BHK apartments in KR Puram. Apartments in Pride Euphora have SUPER area ranging between 1,500 - 3,501 sqft. This society offers apartments in the price range of Rs. 1.79 - 4.59 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/080824/006965 registration number",KR Puram,Pride Euphora,https://www.google.com/maps/search/?api=1&query=Pride+Euphora+KR+Puram+Bangalore,31675000,"[3, 4]",3501,9047,East,6.14575534355754,7.36932195231707,10,9,7.5,9.5,0,16,1.26050420168067,68.9,67.1,68
Keya Spring,https://www.99acres.com/keya-spring-bannerghatta-road-bangalore-south-npxid-r401648,"in Bannerghatta Road, Bangalore","₹1.64 - 1.66 Cr, ₹2.24 Cr, ₹3.32 Cr","2, 3, 4 BHK Apartment",Keya Homes,"Check out 2,3,4 BHK apartments in Bannerghatta Road, now available for sale at Keya Spring. Apartments in this complex are available in price range of Rs. 1.64 - 3.32 Cr. Apartments in Keya Spring have SUPER area ranging between 1,325 - 2,700 sqft. The housing society is RERA-registered with TOR/PRM/KA/RERA/1251/310/PR/230120/001682 registration number",Bannerghatta,Keya Sprg,https://www.google.com/maps/search/?api=1&query=Keya+Spring+Bannerghatta+Road+Bangalore,24033333,"[2, 3, 4]",2700,8901,South,4.21120637604154,7.452486535597,10,9,9.2,8.2,0,31,2.52100840336134,65.6,64.6,65.1
Mahaveer Celesse,https://www.99acres.com/mahaveer-celesse-yelahanka-bangalore-north-npxid-r263821,"in Yelahanka, Bangalore","₹1.26 - 1.3 Cr, ₹1.49 - 1.69 Cr","2, 3 BHK Apartment",Mahaveer Group,"Spacious 2,3 BHK apartments in Yelahanka are available for sale.Check out latest property options at Mahaveer Celesse housing society. Here units have different sizes, mostly in range of 1,171 - 1,599 sqft SUPER area. Apartments in this complex are available in price range of Rs. 1.26 - 1.69 Cr. Mahaveer Celesse 's RERA registration number is PRM/KA/RERA/1251/309/PR/171026/000415",Yelahanka,Mahaveer Celesse,https://www.google.com/maps/search/?api=1&query=Mahaveer+Celesse+Yelahanka+Bangalore,14350000,"[2, 3]",1599,8974,North,1.55210723342592,7.41090424395704,9,9,8,9.3,0,47,3.8655462184874,51.3,70.4,60.8
DSR Highland Greenz,https://www.99acres.com/dsr-highland-greenz-sarjapur-road-bangalore-east-npxid-r392369,"in Sarjapur Road, Bangalore","₹81.37 L - 1.24 Cr, ₹1.28 - 1.61 Cr","2, 3 BHK Apartment",DSR Infra Projects Bangalore,"Finest 2,3 BHK apartments in Sarjapur Road available for sale in DSR Highland Greenz. DSR Highland Greenz apartments are available in multiples sizes, ranging from 875 - 1,560 sqft SUPER area. This society offers apartments in the price range of Rs. 81.37 L - 1.61 Cr. DSR Highland Greenz is a RERA- registered society and PRM/KA/RERA/1251/446/PR/110522/004876 is the RERA registration number",Sarjapur,DSR Highland Greenz,https://www.google.com/maps/search/?api=1&query=DSR+Highland+Greenz+Sarjapur+Road+Bangalore,12359250,"[2, 3]",1560,7923,East,1.45791571066296,8.00957531948586,9,9,7.5,9.5,0,120,10,50.6,81.8,66.2
RRL Palm Altezze,https://www.99acres.com/rrl-palm-altezze-varthur-bangalore-east-npxid-r441151,"in Varthur, Bangalore","₹99 L, ₹1.2 - 1.3 Cr","2, 3 BHK Apartment",RRL Builders and Developers,"Choose your dream home from the wide variety of 2,3 BHK apartments in Varthur, available for sale in RRL Palm Altezze. Apartments in this complex are available in price range of Rs. 99 L - 1.3 Cr. RRL Palm Altezze is a RERA- registered society and PRM/KA/RERA/1251/308/PR/141025/008167 is the RERA registration number. Apartments in RRL Palm Altezze have SUPER area ranging between 1,265 - 1,630 sqft",Varthur,RRL Palm Altezze,https://www.google.com/maps/search/?api=1&query=RRL+Palm+Altezze+Varthur+Bangalore,11200000,"[2, 3]",1630,6871,East,1.62697741818621,8.60881601544811,9,9,7.5,9.5,0,48,3.94957983193277,51.8,74.2,63
Vaishno Serene,https://www.99acres.com/vaishno-serene-hoodi-bangalore-east-npxid-r427851,"in Hoodi, Bangalore",₹1.15 - 1.38 Cr,3 BHK Apartment,Vaishno Builders,"Check out 3 BHK apartments in Hoodi, now available for sale at Vaishno Serene. Apartments in this complex are available in price range of Rs. 1.15 - 1.38 Cr. Here units have different sizes, mostly in range of 1,421 - 1,702 sqft SUPER area. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/210524/006924 registration number",Hoodi,Vaishno Serene,https://www.google.com/maps/search/?api=1&query=Vaishno+Serene+Hoodi+Bangalore,12650000,[3],1702,7432,East,1.80086946021012,8.28925895229714,9,9,7.5,9.5,0,12,0.92436974789916,52.1,68.9,60.5
Keya The Lake Terraces,https://www.99acres.com/keya-the-lake-terraces-electronics-city-phase-1-bangalore-south-npxid-r432183,"in Electronics City Phase 1, Bangalore","₹1.17 Cr, ₹1.58 Cr, ₹2.29 Cr","2, 3, 4 BHK Apartment",Keya Homes,"Looking for your dream home? Explore 2,3,4 BHK apartments in Electronics City Phase 1, now available in Keya The Lake Terraces. This society offers apartments in the price range of Rs. 1.17 - 2.29 Cr. Keya The Lake Terraces has apartments in multiple configurations, in range of 1,188 - 2,363 sqft. Keya The Lake Terraces 's RERA registration number is PRM/KA/RERA/1251/308/PR/170824/006975",Electronics City Phase 1,Keya The Lake Terraces,https://www.google.com/maps/search/?api=1&query=Keya+The+Lake+Terraces+Electronics+City+Phase+1+Bangalore,16800000,"[2, 3, 4]",2363,7110,South,3.39729501267963,8.47267673185973,10,9,9.2,8.2,2,10,0.756302521008403,65.8,66.5,66.2
The Adwaith by Sanjeevini,https://www.99acres.com/the-adwaith-by-sanjeevini-gunjur-bangalore-east-npxid-r441105,"in Gunjur, Near Varthur, Bangalore","₹1.7 - 2.16 Cr, ₹2.79 Cr","3, 4 BHK Apartment",Sanjeevini Group,"Finest 3,4 BHK apartments in Gunjur available for sale in The Adwaith by Sanjeevini. This society offers apartments in the price range of Rs. 1.7 - 2.79 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/140825/007996 registration number. The Adwaith by Sanjeevini apartments are available in multiples sizes, ranging from 1,545 - 2,555 sqft SUPER area",Varthur,The Adwaith by Sanjeevi,https://www.google.com/maps/search/?api=1&query=The+Adwaith+by+Sanjeevini+Gunjur+Bangalore,23600000,"[3, 4]",2555,9237,East,3.86100712474339,7.26109406996648,10,9,7.5,9.5,0,48,3.94957983193277,60.8,70.8,65.8
Achal Simhachalum,https://www.99acres.com/achal-simhachalum-electronics-city-phase-1-bangalore-south-npxid-r452983,"in Electronics City Phase 1, Bangalore",₹2.56 Cr,4 BHK Villa,Achal Developers Banglore,"Check out 4 BHK Villa in Achal Simhachalum, located in Electronics City Phase 1. These Villas are sized between 2,850 sqft. Swimming Pool, Gymnasium and Club House are some of the amenities offered here in this project. Prices of Villas in Achal Simhachalum hover between Rs. 2.56 Cr",Electronics City Phase 1,Achal Simhachalum,https://www.google.com/maps/search/?api=1&query=Achal+Simhachalum+Electronics+City+Phase+1+Bangalore,25600000,[4],2850,8982,South,4.57348146359136,7.40634728048965,10,6,9.2,8.2,2,10,0.756302521008403,68.8,59.4,64.1
DSR The Courtyard,https://www.99acres.com/dsr-the-courtyard-sarjapur-road-bangalore-east-npxid-r426518,"in Sarjapur Road, Bangalore","₹1.03 - 1.2 Cr, ₹1.31 - 1.43 Cr","2, 3 BHK Apartment",DSR Infra Projects Bangalore,"DSR The Courtyard, one of the known housing societes in Bangalore East, brings classic yet modern 2,3 BHK apartments in Sarjapur Road. Here units have different sizes, mostly in range of 1,113 - 1,687 sqft SUPER area. Apartment prices in this housing society vary in the range of Rs. 1.03 - 1.43 Cr. DSR The Courtyard 's RERA registration number is PRM/KA/RERA/1251/446/PR/280324/006759",Sarjapur,DSR The Courtyard,https://www.google.com/maps/search/?api=1&query=DSR+The+Courtyard+Sarjapur+Road+Bangalore,12425000,"[2, 3]",1687,7365,East,1.76464195145514,8.32742352133656,9,9,7.5,9.5,0,120,10,52,82.6,67.3
Mahaveer Northscape,https://www.99acres.com/mahaveer-northscape-devanahalli-bangalore-north-npxid-r346409,"in Devanahalli, Bangalore","₹59.03 - 64 L, ₹87.56 - 95.16 L, ₹1.1 - 1.21 Cr","1, 2, 3 BHK Apartment",Mahaveer Group,"Check out 1,2,3 BHK apartments in Devanahalli, now available for sale at Mahaveer Northscape. Mahaveer Northscape has apartments in multiple configurations, in range of 711 - 1,533 sqft. The housing society is RERA-registered with PRM/KA/RERA/1251/309/PR/191213/003063 registration number. This society offers apartments in the price range of Rs. 59.03 L - 1.21 Cr",Devanahalli,Mahaveer Northscape,https://www.google.com/maps/search/?api=1&query=Mahaveer+Northscape+Devanahalli+Bangalore,8945833,"[1, 2, 3]",1533,5836,North,1.392706194904,9.19837316404214,9,9,8,9.3,0,66,5.46218487394958,52.6,77.2,64.9
Amrutha Platinum Towers,https://www.99acres.com/amrutha-platinum-towers-whitefield-bangalore-east-npxid-r305417,"in Whitefield, Bangalore","₹1.11 - 1.51 Cr, ₹1.4 - 1.81 Cr","2, 3 BHK Apartment",Amrutha Rama Constructions,"Beautiful 2,3 BHK apartments in Whitefield, are now available in Amrutha Platinum Towers housing project. This society is RERA approved and PRM/KA/RERA/1251/446/PR/180420/001525 is the RERA number. Prices of apartments in this project, vary between Rs. 1.11 - 1.81 Cr. Amrutha Platinum Towers apartments are available in multiples sizes, ranging from 1,006 - 1,636 sqft SUPER area",Whitefield,Amrutha Platum Towers,https://www.google.com/maps/search/?api=1&query=Amrutha+Platinum+Towers+Whitefield+Bangalore,14575000,"[2, 3]",1636,8909,East,1.6414684216882,7.44792957212961,9,9,7.5,9.5,0,95,7.89915966386555,50.7,77.2,64
Eeshanya Aaroha,https://www.99acres.com/eeshanya-aaroha-whitefield-bangalore-east-npxid-r454238,"in Whitefield, Bangalore","₹73 L, ₹94.85 L - 1.16 Cr","2, 3 BHK Apartment",Eeshanya Infra LLP,"Spacious 2,3 BHK apartments in Whitefield are available for sale.Check out latest property options at Eeshanya Aaroha housing society. Here units have different sizes, mostly in range of 1,055 - 1,660 sqft SUPER area. Apartments in this complex are available in price range of Rs. 73 L - 1.16 Cr. This society is RERA approved and PRM/KA/RERA/1250/304/PR/150925/008093 is the RERA number",Whitefield,Eeshanya Aaroha,https://www.google.com/maps/search/?api=1&query=Eeshanya+Aaroha+Whitefield+Bangalore,8921250,"[2, 3]",1660,5374,East,1.69943243569617,9.46153780428412,9,9,7.5,9.5,0,95,7.89915966386555,52.9,82.3,67.6
Signature Premier,https://www.99acres.com/signature-premier-sarjapur-road-bangalore-east-npxid-r435540,"in Sarjapur Road, Bangalore",₹1.2 - 1.27 Cr,3 BHK Apartment,Signature Dwellings,"Choose your dream home from the wide variety of 3 BHK apartments in Sarjapur Road, available for sale in Signature Premier. The housing society is RERA-registered with PRM/KA/RERA/1251/308/PR/050425/007652 registration number. This society offers apartments in the price range of Rs. 1.2 - 1.27 Cr. Signature Premier apartments are available in multiples sizes, ranging from 1,600 - 1,690 sqft SUPER area",Sarjapur,Signature Premier,https://www.google.com/maps/search/?api=1&query=Signature+Premier+Sarjapur+Road+Bangalore,12350000,[3],1690,7308,East,1.77188745320614,8.35989188604174,9,9,7.5,9.5,0,120,10,52.1,82.6,67.4
Satyam Varad,https://www.99acres.com/satyam-varad-kammasandra-bangalore-south-npxid-r426987,"in Kammasandra, Electronic City","₹78.94 - 93.51 L, ₹1.07 - 1.09 Cr","2, 3 BHK Apartment",Satyam Builders and Developers,"Spacious 2,3 BHK apartments in Kammasandra are available for sale.Check out latest property options at Satyam Varad housing society. Satyam Varad is a RERA- registered society and PRM/KA/RERA/1251/310/PR/280324/006731 is the RERA registration number. Here units have different sizes, mostly in range of 1,140 - 1,572 sqft SUPER area. This society offers apartments in the price range of Rs. 78.94 L - 1.09 Cr",Electronic City,Satyam Varad,https://www.google.com/maps/search/?api=1&query=Satyam+Varad+Kammasandra+Electronic+City,9711250,"[2, 3]",1572,6178,South,1.48689771766695,9.00356297581107,9,9,9.2,8.2,0,26,2.10084033613445,55.1,67.9,61.5
Mahaveer Highlands,https://www.99acres.com/mahaveer-highlands-kengeri-bangalore-west-npxid-r399160,"in Kengeri, Bangalore","₹83.22 L - 1.05 Cr, ₹1.21 - 1.23 Cr","2, 3 BHK Apartment",Mahaveer Group,"Finest 2,3 BHK apartments in Kengeri available for sale in Mahaveer Highlands. Mahaveer Highlands has apartments in multiple configurations, in range of 964 - 1,447 sqft. This society offers apartments in the price range of Rs. 83.22 L - 1.23 Cr. Mahaveer Highlands 's RERA registration number is PRM/KA/RERA/1251/310/PR/220922/005266",Kengeri,Mahaveer Highlands,https://www.google.com/maps/search/?api=1&query=Mahaveer+Highlands+Kengeri+Bangalore,10805500,"[2, 3]",1447,7468,West,1.18500181137544,8.26875261669387,9,9,6.8,7.4,0,16,1.26050420168067,48.5,62,55.2
DSR Elixir,https://www.99acres.com/dsr-elixir-whitefield-bangalore-east-npxid-r374970,"in Whitefield, Bangalore","₹3 - 4.81 Cr, ₹4.07 - 5.29 Cr","4, 5 BHK Villa",DSR Infra Projects Bangalore,"Located in Whitefield, DSR Elixir is now offering 4,5 BHK Villa for sale. These Villas are sized between 3,376 - 5,949 sqft. DSR Elixir is already Under Construction .Families will start moving in their Villas from Dec, 2025. Prices of Villas in DSR Elixir hover between Rs. 3 - 5.29 Cr",Whitefield,DSR Elixir,https://www.google.com/maps/search/?api=1&query=DSR+Elixir+Whitefield+Bangalore,42925000,"[4, 5]",5949,7215,East,10,8.41286658635019,10,6,7.5,9.5,-0.5,95,7.89915966386555,82.9,74.6,78.8
NBR Soul of the Seasons,https://www.99acres.com/nbr-soul-of-the-seasons-sarjapur-road-bangalore-east-npxid-r437310,"in Sarjapur Road, Bangalore",₹1.54 - 1.94 Cr,3 BHK Apartment,NBR Group Bangalore,"Here are beautifully built 3 BHK apartments in Sarjapur Road, available for sale at NBR Soul of the Seasons. Apartments in this complex are available in price range of Rs. 1.54 - 1.94 Cr. NBR Soul of the Seasons has apartments in multiple configurations, in range of 1,446 - 1,826 sqft. NBR Soul of the Seasons 's RERA registration number is PRM/KA/RERA/1251/310/PR/190625/007855",Sarjapur,NBR Soul of the Seasons,https://www.google.com/maps/search/?api=1&query=NBR+Soul+of+the+Seasons+Sarjapur+Road+Bangalore,17400000,[3],1826,9529,East,2.1003501992513,7.09476490340661,9,9,7.5,9.5,0,120,10,51.9,79.5,65.7
Global Edifice Orlean,https://www.99acres.com/global-edifice-orlean-electronic-city-phase-2-bangalore-south-npxid-r435866,"in Electronic City Phase 2, Bangalore","₹79.3 L, ₹86.11 - 98.15 L","2, 3 BHK Apartment",Global Edifice Builders,"Beautiful 2,3 BHK apartments in Electronic City Phase 2, are now available in Global Edifice Orlean housing project. Global Edifice Orlean is a RERA- registered society and PRM/KA/RERA/1251/308/PR/071224/007275 is the RERA registration number. Global Edifice Orlean has apartments in multiple configurations, in range of 1,220 - 1,590 sqft. This society offers apartments in the price range of Rs. 79.3 - 98.15 L",Electronic City Phase 2,Global Edifice Orlean,https://www.google.com/maps/search/?api=1&query=Global+Edifice+Orlean+Electronic+City+Phase+2+Bangalore,8571500,"[2, 3]",1590,5391,South,1.53037072817293,9.45185425691591,9,9,9.2,8.2,0,7,0.504201680672269,55.7,66.6,61.2
Mahaveer Palatium,https://www.99acres.com/mahaveer-palatium-mahanthalingapura-bangalore-south-npxid-r63835,"in Mahanthalingapura, Near Jigani, Bangalore",₹44.75 - 86.75 L,Land,Mahaveer Group,"This is your chance to invest in Land in Mahanthalingapura. Check out Mahaveer Palatium, one of the best offerings in the area that too within your price range. This is your chance to invest in Land in Mahanthalingapura. Check out Mahaveer Palatium, one of the best offerings in the area that too within your price range. Homebuyers can enjoy amenities such as Swimming Pool, Gymnasium and Club House in this project. Land prices in projectName vary in the range of Rs. 44.75 - 86.75 L",Jigani,Mahaveer Palatium,https://www.google.com/maps/search/?api=1&query=Mahaveer+Palatium+Mahanthalingapura+Jigani+Bangalore,6575000,[],,,South,1.70305518657167,7.25539786563224,5,5,9.2,8.2,2,11,0.840336134453782,46.1,57.6,51.8
VIHA by ROAHA INFRA,https://www.99acres.com/viha-by-roaha-infra-sarjapur-bangalore-east-npxid-r439449,"in Sarjapur, Bangalore","₹1.72 Cr, ₹2.24 Cr","3, 4 BHK Villa",Roaha Infra,"VIHA by ROAHA INFRA is one of the well-known housing society, offering 3,4 BHK Villa for sale in Sarjapur. Villas size in VIHA by ROAHA INFRA varies from 2,240 - 2,737 sqft. VIHA by ROAHA INFRA is a New Launch project .These Villas possession will begin in Dec, 2029. Swimming Pool, Gymnasium and Club House are some of the major amenities offered here",Sarjapur,VIHA by ROAHA FRA,https://www.google.com/maps/search/?api=1&query=VIHA+by+ROAHA+INFRA+Sarjapur+Bangalore,19800000,"[3, 4]",2737,7234,East,4.30056756430383,8.40204379811513,10,9,7.5,9.5,2,120,10,65.5,84.8,75.2
Candeur Novo Gardenia,https://www.99acres.com/candeur-novo-gardenia-varthur-bangalore-east-npxid-r423949,"in Varthur, Bangalore","₹1.09 - 1.16 Cr, ₹1.35 - 1.61 Cr","2, 3 BHK Apartment",Candeur Constructions,"Candeur Novo Gardenia, one of the known housing societes in Bangalore East, brings classic yet modern 2,3 BHK apartments in Varthur. Apartments in this complex are available in price range of Rs. 1.09 - 1.61 Cr. Candeur Novo Gardenia has apartments in multiple configurations, in range of 1,210 - 1,790 sqft. Candeur Novo Gardenia is a RERA- registered society and PRM/KA/RERA/1251/309/PR/070324/006697 is the RERA registration number",Varthur,Candeur Novo Gardenia,https://www.google.com/maps/search/?api=1&query=Candeur+Novo+Gardenia+Varthur+Bangalore,13025000,"[2, 3]",1790,7277,East,2.01340417823934,8.37755011947789,9,9,7.5,9.5,0,48,3.94957983193277,52.9,73.6,63.2
Sowparnika Rhythm of Rain,https://www.99acres.com/sowparnika-rhythm-of-rain-whitefield-bangalore-east-npxid-r439468,"in Whitefield, Bangalore","₹49 - 49.72 L, ₹91.18 L - 1.12 Cr, ₹1.16 - 1.55 Cr","1, 2, 3 BHK Apartment",Sowparnika Projects,"Finest 1,2,3 BHK apartments in Whitefield available for sale in Sowparnika Rhythm of Rain. Apartments in Sowparnika Rhythm of Rain have SUPER area ranging between 543 - 1,601 sqft. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/290125/007454 registration number. This society offers apartments in the price range of Rs. 49 L - 1.55 Cr",Whitefield,Sowparnika Rhythm of Ra,https://www.google.com/maps/search/?api=1&query=Sowparnika+Rhythm+of+Rain+Whitefield+Bangalore,9548333,"[1, 2, 3]",1601,5964,East,1.55693756792658,9.12546174856385,9,9,7.5,9.5,0,95,7.89915966386555,52.1,81.4,66.8
Sunny Groves by Cynosure Homez,https://www.99acres.com/sunny-groves-by-cynosure-homez-sarjapur-road-bangalore-east-npxid-r436435,"in Sarjapur Road, Bangalore","₹88.63 L, ₹1.08 - 1.35 Cr, ₹2.65 Cr","2, 3, 4 BHK Apartment",Cynosure Homez,"Looking for your dream home? Explore 2,3,4 BHK apartments in Sarjapur Road, now available in Sunny Groves by Cynosure Homez. Apartments in Sunny Groves by Cynosure Homez have SUPER area ranging between 1,122 - 3,350 sqft. Apartment prices in this housing society vary in the range of Rs. 88.63 L - 2.65 Cr. Sunny Groves by Cynosure Homez is a RERA- registered society and PRM/KA/RERA/1251/308/PR/170325/007589 is the RERA registration number",Sarjapur,Sunny Groves by Cynosure Homez,https://www.google.com/maps/search/?api=1&query=Sunny+Groves+by+Cynosure+Homez+Sarjapur+Road+Bangalore,15837667,"[2, 3, 4]",3350,4728,East,5.7810650887574,9.82951260427614,10,9,7.5,9.5,0,120,10,70.1,86.3,78.2
Assetz Zen and Sato,https://www.99acres.com/assetz-zen-and-sato-yelahanka-bangalore-north-npxid-r443564,"in Yelahanka, Bangalore","₹2.7 - 2.76 Cr, ₹3.7 Cr","3, 4 BHK Apartment",Assetz Property Group,"Check out 3,4 BHK apartments in Yelahanka, now available for sale at Assetz Zen and Sato. Assetz Zen and Sato apartments are available in multiples sizes, ranging from 2,159 - 2,955 sqft SUPER area. Assetz Zen and Sato 's RERA registration number is PRM/KA/RERA/1251/472/PR/080525/007728. Apartment prices in this housing society vary in the range of Rs. 2.7 - 3.7 Cr",Yelahanka,Assetz Zen and Sato,https://www.google.com/maps/search/?api=1&query=Assetz+Zen+and+Sato+Yelahanka+Bangalore,32150000,"[3, 4]",2955,10880,North,4.82707402487623,6.32520769785054,10,9,8,9.3,0,47,3.8655462184874,64.2,67.7,66
SB Urban Park,https://www.99acres.com/sb-urban-park-thanisandra-bangalore-north-npxid-r424806,"in Thanisandra, Bangalore","₹1.97 - 2.5 Cr, ₹3.68 - 3.7 Cr","3, 4 BHK Apartment",SB Urbanscapes,"Choose your dream home from the wide variety of 3,4 BHK apartments in Thanisandra, available for sale in SB Urban Park. Prices of apartments in this project, vary between Rs. 1.97 - 3.7 Cr. SB Urban Park is a RERA- registered society and PRM/KA/RERA/1251/309/PR/200224/006647 is the RERA registration number. SB Urban Park apartments are available in multiples sizes, ranging from 1,605 - 3,070 sqft SUPER area",Thanisandra,SB Urban Park,https://www.google.com/maps/search/?api=1&query=SB+Urban+Park+Thanisandra+Bangalore,29625000,"[3, 4]",3070,9650,North,5.10481825866442,7.02584083096229,10,9,8,9.3,1.5,42,3.4453781512605,67.4,70.3,68.8
Binary Etania,https://www.99acres.com/binary-etania-sarjapur-road-bangalore-east-npxid-r450741,"in Sarjapur Road, Bangalore","₹1.01 Cr, ₹1.3 - 1.32 Cr","2, 3 BHK Apartment",Binary Ventures,"Binary Etania society now offers elegantly built 3 BHK apartments in Sarjapur Road. Binary Etania is a RERA- registered society and PRM/KA/RERA/1251/308/PR/060825/007982 is the RERA registration number. Apartments in Binary Etania have SUPER area ranging between 1,639 - 1,652 sqft. Prices of apartments in this project, vary between Rs. 1.3 - 1.32 Cr",Sarjapur,Bary Etania,https://www.google.com/maps/search/?api=1&query=Binary+Etania+Sarjapur+Road+Bangalore,11600000,"[2, 3]",1652,7022,East,1.68011109769352,8.52280333000105,9,9,7.5,9.5,0,120,10,51.9,83.1,67.5
Concorde Neo,https://www.99acres.com/concorde-neo-thanisandra-main-road-bangalore-north-npxid-r434535,"in Thanisandra Main Road, Bangalore North","₹99 L - 1.09 Cr, ₹1.3 - 1.35 Cr","2, 3 BHK Apartment",Concorde,"Beautiful 2,3 BHK apartments in Thanisandra Main Road, are now available in Concorde Neo housing project. Apartments in this complex are available in price range of Rs. 99 L - 1.35 Cr. Here units have different sizes, mostly in range of 1,125 - 1,539 sqft SUPER area. This society is RERA approved and PRM/KA/RERA/1251/309/PR/270924/007088 is the RERA number",Thanisandra,Concorde Neo,https://www.google.com/maps/search/?api=1&query=Concorde+Neo+Thanisandra+Main+Road+Bangalore,11825000,"[2, 3]",1539,7684,North,1.40719719840599,8.14571460307424,9,9,8,9.3,0,42,3.4453781512605,51.6,71.6,61.6
Provident Botanico,https://www.99acres.com/provident-botanico-soukya-road-bangalore-east-npxid-r424433,"in Soukya Road, Whitefield, Bangalore","₹90.99 L - 1.17 Cr, ₹1.31 - 1.46 Cr","2, 3 BHK Apartment",Provident Housing,"Provident Botanico society now offers elegantly built 2,3 BHK apartments in Soukya Road. This society offers apartments in the price range of Rs. 90.99 L - 1.46 Cr. Here units have different sizes, mostly in range of 658 - 1,003 sqft CARPET area. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/210324/006726 registration number",Soukya Road,Provident Botanico,https://www.google.com/maps/search/?api=1&query=Provident+Botanico+Soukya+Road+Whitefield+Bangalore,12124750,"[2, 3]",1003,12088,East,0.112667552227992,5.63710621427412,9,9,7.5,9.5,0,3,0.168067226890756,43.5,61.1,52.3
