title,url,location,price,property_type,posted_by,description,Extracted_Locality,Clean_Project_Name,Google_Maps_Link,Exact_Price,BHK_List,Cleaned_Area,Price_Per_Sqft,Zone,Score_Area,Score_Price,Score_BHK_Liv,Score_BHK_Inv,Score_Zone_Liv,Score_Zone_Inv,Score_Keywords,Locality_Freq,Score_Locality,Livability_Score,Investment_Score,Recommendation_Score
Kolte Patil Lakeside 24,https://www.99acres.com/kolte-patil-lakeside-24-hennur-road-bangalore-north-npxid-r424109,"in Hennur Road, Bangalore","₹88.35 L - 1.13 Cr, ₹1.29 - 1.34 Cr, ₹2.03 Cr","2, 3, 4 BHK Apartment",Kolte Patil,"Beautiful 2,3,4 BHK apartments in Hennur Road, are now available in Kolte Patil Lakeside 24 housing project. Kolte Patil Lakeside 24 is a RERA- registered society and PRM/KA/RERA/1251/446/PR/060324/006667 is the RERA registration number. Here units have different sizes, mostly in range of 817 - 1,796 sqft CARPET area. Prices of apartments in this project, vary between Rs. 88.35 L - 2.03 Cr",Hennur,Kolte Patil Lakeside 24,https://www.google.com/maps/search/?api=1&query=Kolte+Patil+Lakeside+24+Hennur+Road+Bangalore,14505833,"[2, 3, 4]",1796,8077,North,2.02789518174134,7.92185377273854,10,9,8,9.3,2,25,2.01680672268908,58,70.9,64.4
Radiance Platinum,https://www.99acres.com/radiance-platinum-koramangala-bangalore-south-npxid-r430939,"in Koramangala, Bangalore","₹3.04 - 3.38 Cr, ₹4.12 - 4.29 Cr","3, 4 BHK Apartment",Radiance Realty,"Choose your dream home from the wide variety of 3,4 BHK apartments in Koramangala, available for sale in Radiance Platinum. Radiance Platinum apartments are available in multiples sizes, ranging from 2,167 - 3,064 sqft SUPER area. This society offers apartments in the price range of Rs. 3.04 - 4.29 Cr. This society is RERA approved and PRM/KA/RERA/1251/310/PR/060824/006962 is the RERA number",Koramangala,Radiance Platum,https://www.google.com/maps/search/?api=1&query=Radiance+Platinum+Koramangala+Bangalore,37075000,"[3, 4]",3064,12100,South,5.09032725516242,5.63027076907303,10,9,9.2,8.2,0,8,0.588235294117647,66.8,57.2,62
Yuva Blue Meadows Phase 2,https://www.99acres.com/yuva-blue-meadows-phase-2-varthur-bangalore-east-npxid-r409844,"in Varthur, Bangalore","₹88.62 L - 1 Cr, ₹1.01 - 1.38 Cr","2, 3 BHK Apartment",Yuva Infinity Developers,"Yuva Blue Meadows Phase 2, one of the known housing societes in Bangalore East, brings classic yet modern 2,3 BHK apartments in Varthur. Apartment prices in this housing society vary in the range of Rs. 88.62 L - 1.38 Cr. Yuva Blue Meadows Phase 2 is a RERA- registered society and PRM/KA/RERA/1251/446/PR/150323/005798 is the RERA registration number. Apartments in Yuva Blue Meadows Phase 2 have SUPER area ranging between 1,170 - 1,840 sqft",Varthur,Yuva Blue Meadows Phase 2,https://www.google.com/maps/search/?api=1&query=Yuva+Blue+Meadows+Phase+2+Varthur+Bangalore,10690500,"[2, 3]",1840,5810,East,2.13416254075595,9.21318329531117,9,9,7.5,9.5,0,48,3.94957983193277,54.2,75.7,65
MSR Passion Square,https://www.99acres.com/msr-passion-square-sarjapur-road-bangalore-east-npxid-r428928,"in Sarjapur Road, Bangalore","₹93.42 L - 1.16 Cr, ₹1.18 - 1.32 Cr","2, 3 BHK Apartment",MSR Shelters LLP,"Beautiful 2,3 BHK apartments in Sarjapur Road, are now available in MSR Passion Square housing project. MSR Passion Square is a RERA- registered society and PRM/KA/RERA/1251/446/PR/170524/006886 is the RERA registration number. MSR Passion Square apartments are available in multiples sizes, ranging from 1,099 - 1,557 sqft SUPER area. Prices of apartments in this project, vary between Rs. 93.42 L - 1.32 Cr",Sarjapur,MSR Passion Square,https://www.google.com/maps/search/?api=1&query=MSR+Passion+Square+Sarjapur+Road+Bangalore,11485500,"[2, 3]",1557,7377,East,1.45067020891197,8.32058807613547,9,9,7.5,9.5,0,120,10,50.9,82.6,66.8
Abhee Celestial City,https://www.99acres.com/abhee-celestial-city-sarjapur-road-bangalore-east-npxid-r418742,"in Sarjapur Road, Bangalore","₹1.3 Cr, ₹1.79 - 2.24 Cr","2, 3 BHK Apartment",Abhee Ventures,"Choose your dream home from the wide variety of 2,3 BHK apartments in Sarjapur Road, available for sale in Abhee Celestial City. Abhee Celestial City 's RERA registration number is PRM/KA/RERA/1251/308/PR/071123/006380. Apartment prices in this housing society vary in the range of Rs. 1.3 - 2.24 Cr. Abhee Celestial City has apartments in multiple configurations, in range of 1,345 - 1,990 sqft",Sarjapur,Abhee Celestial City,https://www.google.com/maps/search/?api=1&query=Abhee+Celestial+City+Sarjapur+Road+Bangalore,16575000,"[2, 3]",1990,8329,East,2.49643762830576,7.77830942351564,9,9,7.5,9.5,0,120,10,54,81.2,67.6
Saranya Swarovski,https://www.99acres.com/saranya-swarovski-kadugodi-bangalore-east-npxid-r428931,"in Kadugodi, Bangalore","₹1 - 1.09 Cr, ₹1.13 - 1.5 Cr","2, 3 BHK Apartment",Saranya Builders Bengaluru,"Choose your dream home from the wide variety of 2,3 BHK apartments in Kadugodi, available for sale in Saranya Swarovski. Prices of apartments in this project, vary between Rs. 1 - 1.5 Cr. Apartments in Saranya Swarovski have SUPER area ranging between 1,240 - 1,855 sqft. Saranya Swarovski 's RERA registration number is PRM/KA/RERA/1251/446/PR/210524/006932",Kadugodi,Saranya Swarovski,https://www.google.com/maps/search/?api=1&query=Saranya+Swarovski+Kadugodi+Bangalore,11800000,"[2, 3]",1855,6361,East,2.17039004951093,8.89932243649444,9,9,7.5,9.5,0,8,0.588235294117647,54,69.9,62
Sarang by Sumadhura,https://www.99acres.com/sarang-by-sumadhura-whitefield-bangalore-east-npxid-r411425,"in Whitefield, Bangalore","₹1.35 Cr, ₹1.8 - 2.19 Cr, ₹2.27 - 2.94 Cr","2, 3, 4 BHK Apartment",Sumadhura Group,"Finest 2,3,4 BHK apartments in Whitefield available for sale in Sarang by Sumadhura. Sarang by Sumadhura has apartments in multiple configurations, in range of 1,225 - 2,580 sqft. Prices of apartments in this project, vary between Rs. 1.35 - 2.94 Cr. Sarang by Sumadhura is a RERA- registered society and PRM/KA/RERA/1251/446/PR/180723/006075 is the RERA registration number",Whitefield,Sarang by Sumadhura,https://www.google.com/maps/search/?api=1&query=Sarang+by+Sumadhura+Whitefield+Bangalore,19833333,"[2, 3, 4]",2580,7687,East,3.92138630600169,8.14400574177397,10,9,7.5,9.5,0,95,7.89915966386555,61.9,79,70.4
RRL Palacio,https://www.99acres.com/rrl-palacio-sarjapur-road-bangalore-east-npxid-r426925,"in Sarjapur Road, Bangalore","₹75 - 86.81 L, ₹94.44 L - 1.07 Cr","2, 3 BHK Apartment",RRL Builders and Developers,"Here are beautifully built 2,3 BHK apartments in Sarjapur Road, available for sale at RRL Palacio. RRL Palacio has apartments in multiple configurations, in range of 1,080 - 1,540 sqft. This society is RERA approved and PRM/KA/RERA/1251/308/PR/220424/006827 is the RERA number. Apartments in this complex are available in price range of Rs. 75 L - 1.07 Cr",Sarjapur,RRL Palacio,https://www.google.com/maps/search/?api=1&query=RRL+Palacio+Sarjapur+Road+Bangalore,9081250,"[2, 3]",1540,5897,East,1.40961236565632,9.16362631760327,9,9,7.5,9.5,0,120,10,51.6,84.7,68.2
Sanjeevini Aarna,https://www.99acres.com/sanjeevini-aarna-hoskote-bangalore-east-npxid-r427272,"in Hoskote, Bangalore","₹69 - 95.43 L, ₹1.11 - 1.24 Cr","2, 3 BHK Apartment",Sanjeevini Group,"Beautiful 2,3 BHK apartments in Hoskote, are now available in Sanjeevini Aarna housing project. The housing society is RERA-registered with PRM/KA/RERA/1250/304/PR/170524/006887 registration number. Apartments in this complex are available in price range of Rs. 69 L - 1.24 Cr. Sanjeevini Aarna apartments are available in multiples sizes, ranging from 940 - 1,680 sqft SUPER area",Hoskote,Sanjeevi Aarna,https://www.google.com/maps/search/?api=1&query=Sanjeevini+Aarna+Hoskote+Bangalore,9985750,"[2, 3]",1680,5944,East,1.74773578070281,9.13685415723233,9,9,7.5,9.5,0,21,1.68067226890756,52.8,72.1,62.4
Ramsons East Park Residences,https://www.99acres.com/ramsons-east-park-residences-sarjapur-road-bangalore-east-npxid-r423851,"in Sarjapur Road, Bangalore","₹1.12 - 1.59 Cr, ₹2.04 - 2.57 Cr, ₹2.61 - 2.91 Cr","2, 3, 4 BHK Apartment",Ramsons Trendsquares,"Spacious 2,3,4 BHK apartments in Sarjapur Road are available for sale.Check out latest property options at Ramsons East Park Residences housing society. Ramsons East Park Residences apartments are available in multiples sizes, ranging from 932 - 1,786 sqft CARPET area. Prices of apartments in this project, vary between Rs. 1.12 - 2.91 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/310/PR/280224/006657 registration number",Sarjapur,Ramsons East Park Residences,https://www.google.com/maps/search/?api=1&query=Ramsons+East+Park+Residences+Sarjapur+Road+Bangalore,21400000,"[2, 3, 4]",1786,11982,East,2.00374350923802,5.69748598021708,10,9,7.5,9.5,1.5,120,10,54.2,77.5,65.8
Palm Paradise by Westbury,https://www.99acres.com/palm-paradise-by-westbury-sarjapur-road-bangalore-east-npxid-r431473,"in Sarjapur Road, Bangalore",₹71.97 L - 1.31 Cr,"1, 2, 3, 4 BHK Villa, Land",Westbury Hospitality,"For Multiple: Palm Paradise by Westbury offers beautifully designed 1 BHK Villa, 2 BHK Villa and 3 BHK Villa in Sarjapur Road, Bangalore East. Prices here start from Rs. 71.97 L. Swimming Pool, Gymnasium and Club House are some of the amenities offered here. Palm Paradise by Westbury possession will begin from Dec, 2025",Sarjapur,Palm Paradise by Westbury,https://www.google.com/maps/search/?api=1&query=Palm+Paradise+by+Westbury+Sarjapur+Road+Bangalore,10148500,[],,,East,1.70305518657167,7.25539786563224,5,5,7.5,9.5,2,120,10,42.7,75.9,59.3
Prestige Lavender Fields,https://www.99acres.com/prestige-lavender-fields-varthur-bangalore-east-npxid-r405318,"in Varthur, Bangalore","₹93.66 L - 1.1 Cr, ₹1.43 - 2.34 Cr, ₹1.97 - 3.34 Cr, ₹3.12 - 5.12 Cr","1, 2, 3, 4 BHK Apartment",Prestige Group,"Spacious 1,2,3,4 BHK apartments in Varthur are available for sale.Check out latest property options at Prestige Lavender Fields housing society. Prestige Lavender Fields 's RERA registration number is PRM/KA/RERA/1251/446/PR/290423/005906. Prestige Lavender Fields apartments are available in multiples sizes, ranging from 669 - 3,656 sqft SUPER area. Prices of apartments in this project, vary between Rs. 93.66 L - 5.12 Cr",Varthur,Prestige Lavender Fields,https://www.google.com/maps/search/?api=1&query=Prestige+Lavender+Fields+Varthur+Bangalore,24195750,"[1, 2, 3, 4]",3656,6618,East,6.52010626735902,8.75292998510443,10,9,7.5,9.5,0,48,3.94957983193277,71.6,74.6,73.1
Century Regalia,https://www.99acres.com/century-regalia-indiranagar-bangalore-east-npxid-r428719,"in Indiranagar, Bangalore","₹3.44 - 3.67 Cr, ₹4 - 4.5 Cr, ₹4.75 - 5.5 Cr, ₹9.09 Cr","2, 3, 4, 5 BHK Apartment",Century Real Estate Holdings,"Century Regalia society now offers elegantly built 2,3,4,5 BHK apartments in Indiranagar. This society offers apartments in the price range of Rs. 3.44 - 9.09 Cr. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/170524/006883 registration number. Apartments in Century Regalia have CARPET area ranging between 1,195 - 3,637 sqft",Indiranagar,Century Regalia,https://www.google.com/maps/search/?api=1&query=Century+Regalia+Indiranagar+Bangalore,55050000,"[2, 3, 4, 5]",3637,15136,East,6.47421808960271,3.90090313319719,10,9,7.5,9.5,0,3,0.168067226890756,66.6,56.8,61.7
Total Environment In That Quiet Earth,https://www.99acres.com/total-environment-in-that-quiet-earth-hennur-road-bangalore-north-npxid-r306863,"in Hennur Road, Bangalore","₹2.8 Cr, ₹3.63 - 6.92 Cr, ₹5.06 - 6.05 Cr","2, 3, 4 BHK Apartment",Total Environment Homes,"Finest 2,3,4 BHK apartments in Hennur Road available for sale in Total Environment In That Quiet Earth. Apartments in this complex are available in price range of Rs. 2.8 - 6.92 Cr. Total Environment In That Quiet Earth apartments are available in multiples sizes, ranging from 934 - 2,768 sqft CARPET area. The housing society is RERA-registered with PRM/KA/RERA/1251/446/PR/180519/001745 registration number",Hennur,Total Environment That Quiet Earth,https://www.google.com/maps/search/?api=1&query=Total+Environment+In+That+Quiet+Earth+Hennur+Road+Bangalore,45433333,"[2, 3, 4]",2768,16414,North,4.37543774906413,3.17292821928108,10,9,8,9.3,0,25,2.01680672268908,59.5,57,58.2
